call_id,timestamp,region,call_type,call_duration,priority_level,agent_available,weather_flag,is_holiday,call_volume_next_interval,hour,day_of_week,is_weekend,lag_1,rolling_call_count,moving_avg_3
40,2025-01-01 03:20:00,North,Police,471,2,11,Normal,0,19,3,2,0,33.0,91.0,30.333333333333332
41,2025-01-01 03:25:00,South,Medical,385,3,29,Normal,0,23,3,2,0,19.0,75.0,25.0
42,2025-01-01 03:30:00,West,Medical,517,3,20,Normal,0,13,3,2,0,23.0,55.0,18.333333333333332
43,2025-01-01 03:35:00,South,Police,299,2,6,Normal,0,19,3,2,0,13.0,55.0,18.333333333333332
44,2025-01-01 03:40:00,Central,Police,215,2,28,Normal,0,28,3,2,0,19.0,60.0,20.0
45,2025-01-01 03:45:00,West,Police,579,2,5,Severe,0,48,3,2,0,28.0,95.0,31.666666666666668
46,2025-01-01 03:50:00,North,Police,242,2,16,Normal,0,29,3,2,0,48.0,105.0,35.0
47,2025-01-01 03:55:00,South,Police,289,2,12,Normal,0,18,3,2,0,29.0,95.0,31.666666666666668
48,2025-01-01 04:00:00,West,Police,692,2,15,Normal,0,18,4,2,0,18.0,65.0,21.666666666666668
49,2025-01-01 04:05:00,South,Fire,591,4,7,Normal,0,24,4,2,0,18.0,60.0,20.0
50,2025-01-01 04:10:00,Central,Medical,824,3,27,Normal,1,32,4,2,0,24.0,74.0,24.666666666666668
51,2025-01-01 04:15:00,North,Medical,318,3,21,Normal,0,27,4,2,0,32.0,83.0,27.666666666666668
52,2025-01-01 04:20:00,West,Other,151,1,23,Severe,0,47,4,2,0,27.0,106.0,35.333333333333336
53,2025-01-01 04:25:00,West,Police,683,2,25,Normal,0,13,4,2,0,47.0,87.0,29.0
54,2025-01-01 04:30:00,South,Fire,614,4,15,Normal,0,13,4,2,0,13.0,73.0,24.333333333333332
55,2025-01-01 04:35:00,North,Medical,818,3,18,Severe,0,44,4,2,0,13.0,70.0,23.333333333333332
56,2025-01-01 04:40:00,Central,Police,621,2,23,Normal,0,25,4,2,0,44.0,82.0,27.333333333333332
57,2025-01-01 04:45:00,North,Police,269,2,23,Normal,0,26,4,2,0,25.0,95.0,31.666666666666668
58,2025-01-01 04:50:00,East,Medical,519,3,24,Normal,0,19,4,2,0,26.0,70.0,23.333333333333332
59,2025-01-01 04:55:00,Central,Medical,804,3,21,Normal,0,22,4,2,0,19.0,67.0,22.333333333333332
60,2025-01-01 05:00:00,Central,Other,248,1,20,Normal,0,19,5,2,0,22.0,60.0,20.0
61,2025-01-01 05:05:00,West,Medical,346,3,13,Severe,0,29,5,2,0,19.0,70.0,23.333333333333332
62,2025-01-01 05:10:00,East,Medical,657,3,16,Normal,0,18,5,2,0,29.0,66.0,22.0
63,2025-01-01 05:15:00,South,Medical,839,3,9,Normal,0,15,5,2,0,18.0,62.0,20.666666666666668
64,2025-01-01 05:20:00,North,Fire,860,4,20,Severe,1,58,5,2,0,15.0,91.0,30.333333333333332
65,2025-01-01 05:25:00,South,Medical,541,3,17,Severe,0,44,5,2,0,58.0,117.0,39.0
66,2025-01-01 05:30:00,North,Medical,581,3,29,Normal,0,24,5,2,0,44.0,126.0,42.0
67,2025-01-01 05:35:00,East,Medical,704,3,20,Normal,1,41,5,2,0,24.0,109.0,36.333333333333336
68,2025-01-01 05:40:00,East,Police,764,2,9,Normal,0,20,5,2,0,41.0,85.0,28.333333333333332
69,2025-01-01 05:45:00,North,Other,304,1,8,Normal,0,16,5,2,0,20.0,77.0,25.666666666666668
70,2025-01-01 05:50:00,South,Fire,837,4,26,Normal,0,22,5,2,0,16.0,58.0,19.333333333333332
71,2025-01-01 05:55:00,North,Medical,602,3,27,Normal,0,13,5,2,0,22.0,51.0,17.0
72,2025-01-01 06:00:00,West,Other,197,1,22,Normal,0,23,6,2,0,13.0,58.0,19.333333333333332
73,2025-01-01 06:05:00,North,Police,741,2,27,Normal,0,27,6,2,0,23.0,63.0,21.0
74,2025-01-01 06:10:00,North,Fire,907,4,24,Normal,0,24,6,2,0,27.0,74.0,24.666666666666668
75,2025-01-01 06:15:00,East,Police,310,2,29,Severe,0,40,6,2,0,24.0,91.0,30.333333333333332
76,2025-01-01 06:20:00,West,Medical,580,3,7,Normal,0,19,6,2,0,40.0,83.0,27.666666666666668
77,2025-01-01 06:25:00,South,Medical,833,3,25,Normal,0,16,6,2,0,19.0,75.0,25.0
78,2025-01-01 06:30:00,North,Police,272,2,29,Normal,0,18,6,2,0,16.0,53.0,17.666666666666668
79,2025-01-01 06:35:00,Central,Medical,556,3,12,Normal,0,20,6,2,0,18.0,54.0,18.0
80,2025-01-01 06:40:00,South,Police,277,2,28,Normal,0,16,6,2,0,20.0,54.0,18.0
81,2025-01-01 06:45:00,East,Other,337,1,15,Normal,0,14,6,2,0,16.0,50.0,16.666666666666668
82,2025-01-01 06:50:00,North,Police,227,2,14,Normal,0,19,6,2,0,14.0,49.0,16.333333333333332
83,2025-01-01 06:55:00,North,Other,311,1,29,Normal,0,13,6,2,0,19.0,46.0,15.333333333333334
84,2025-01-01 07:00:00,South,Police,568,2,16,Normal,0,20,7,2,0,13.0,52.0,17.333333333333332
85,2025-01-01 07:05:00,South,Medical,614,3,17,Normal,0,18,7,2,0,20.0,51.0,17.0
86,2025-01-01 07:10:00,East,Medical,649,3,28,Severe,0,37,7,2,0,18.0,75.0,25.0
87,2025-01-01 07:15:00,West,Other,105,1,6,Normal,0,20,7,2,0,37.0,75.0,25.0
88,2025-01-01 07:20:00,North,Police,591,2,23,Severe,0,40,7,2,0,20.0,97.0,32.333333333333336
89,2025-01-01 07:25:00,West,Medical,389,3,18,Normal,0,16,7,2,0,40.0,76.0,25.333333333333332
90,2025-01-01 07:30:00,East,Police,209,2,9,Normal,0,15,7,2,0,16.0,71.0,23.666666666666668
91,2025-01-01 07:35:00,North,Medical,628,3,21,Severe,0,37,7,2,0,15.0,68.0,22.666666666666668
92,2025-01-01 07:40:00,North,Other,335,1,22,Normal,0,21,7,2,0,37.0,73.0,24.333333333333332
93,2025-01-01 07:45:00,East,Other,159,1,12,Normal,0,29,7,2,0,21.0,87.0,29.0
94,2025-01-01 07:50:00,South,Other,188,1,17,Normal,0,15,7,2,0,29.0,65.0,21.666666666666668
95,2025-01-01 07:55:00,East,Police,222,2,19,Normal,0,19,7,2,0,15.0,63.0,21.0
96,2025-01-01 08:00:00,Central,Other,138,1,23,Normal,0,28,8,2,0,19.0,62.0,20.666666666666668
97,2025-01-01 08:05:00,West,Police,488,2,24,Normal,0,34,8,2,0,28.0,81.0,27.0
98,2025-01-01 08:10:00,North,Medical,897,3,6,Normal,0,33,8,2,0,34.0,95.0,31.666666666666668
99,2025-01-01 08:15:00,West,Fire,1095,4,19,Normal,0,27,8,2,0,33.0,94.0,31.333333333333332
100,2025-01-01 08:20:00,South,Medical,591,3,15,Normal,0,25,8,2,0,27.0,85.0,28.333333333333332
101,2025-01-01 08:25:00,South,Other,317,1,17,Normal,0,44,8,2,0,25.0,96.0,32.0
102,2025-01-01 08:30:00,East,Other,232,1,28,Normal,0,26,8,2,0,44.0,95.0,31.666666666666668
103,2025-01-01 08:35:00,North,Fire,428,4,18,Normal,0,35,8,2,0,26.0,105.0,35.0
104,2025-01-01 08:40:00,Central,Medical,719,3,26,Severe,0,49,8,2,0,35.0,110.0,36.666666666666664
105,2025-01-01 08:45:00,Central,Medical,608,3,13,Normal,0,27,8,2,0,49.0,111.0,37.0
106,2025-01-01 08:50:00,West,Police,274,2,10,Normal,0,32,8,2,0,27.0,108.0,36.0
107,2025-01-01 08:55:00,East,Medical,478,3,26,Normal,0,34,8,2,0,32.0,93.0,31.0
108,2025-01-01 09:00:00,North,Police,355,2,22,Normal,0,29,9,2,0,34.0,95.0,31.666666666666668
109,2025-01-01 09:05:00,West,Police,559,2,21,Normal,0,44,9,2,0,29.0,107.0,35.666666666666664
110,2025-01-01 09:10:00,East,Medical,584,3,21,Normal,0,28,9,2,0,44.0,101.0,33.666666666666664
111,2025-01-01 09:15:00,East,Fire,593,4,26,Normal,0,31,9,2,0,28.0,103.0,34.333333333333336
112,2025-01-01 09:20:00,North,Medical,354,3,11,Normal,0,31,9,2,0,31.0,90.0,30.0
113,2025-01-01 09:25:00,North,Medical,775,3,22,Normal,0,38,9,2,0,31.0,100.0,33.333333333333336
114,2025-01-01 09:30:00,East,Police,527,2,26,Normal,0,31,9,2,0,38.0,100.0,33.333333333333336
115,2025-01-01 09:35:00,South,Other,187,1,18,Normal,0,38,9,2,0,31.0,107.0,35.666666666666664
116,2025-01-01 09:40:00,South,Medical,450,3,25,Normal,0,23,9,2,0,38.0,92.0,30.666666666666668
117,2025-01-01 09:45:00,South,Other,296,1,24,Normal,0,31,9,2,0,23.0,92.0,30.666666666666668
118,2025-01-01 09:50:00,West,Police,455,2,13,Normal,0,28,9,2,0,31.0,82.0,27.333333333333332
119,2025-01-01 09:55:00,North,Other,219,1,18,Normal,0,42,9,2,0,28.0,101.0,33.666666666666664
120,2025-01-01 10:00:00,North,Police,436,2,29,Normal,0,20,10,2,0,42.0,90.0,30.0
121,2025-01-01 10:05:00,Central,Medical,445,3,25,Normal,0,20,10,2,0,20.0,82.0,27.333333333333332
122,2025-01-01 10:10:00,South,Police,541,2,25,Normal,0,11,10,2,0,20.0,51.0,17.0
123,2025-01-01 10:15:00,Central,Police,654,2,14,Normal,0,23,10,2,0,11.0,54.0,18.0
124,2025-01-01 10:20:00,South,Medical,662,3,5,Normal,0,18,10,2,0,23.0,52.0,17.333333333333332
125,2025-01-01 10:25:00,East,Medical,412,3,11,Normal,0,16,10,2,0,18.0,57.0,19.0
126,2025-01-01 10:30:00,Central,Fire,1161,4,8,Severe,0,38,10,2,0,16.0,72.0,24.0
127,2025-01-01 10:35:00,North,Police,700,2,13,Normal,0,30,10,2,0,38.0,84.0,28.0
128,2025-01-01 10:40:00,South,Fire,530,4,22,Normal,0,20,10,2,0,30.0,88.0,29.333333333333332
129,2025-01-01 10:45:00,East,Medical,316,3,14,Normal,0,17,10,2,0,20.0,67.0,22.333333333333332
130,2025-01-01 10:50:00,East,Police,280,2,27,Normal,0,13,10,2,0,17.0,50.0,16.666666666666668
131,2025-01-01 10:55:00,North,Other,146,1,14,Normal,0,22,10,2,0,13.0,52.0,17.333333333333332
132,2025-01-01 11:00:00,Central,Police,697,2,27,Severe,0,41,11,2,0,22.0,76.0,25.333333333333332
133,2025-01-01 11:05:00,East,Other,372,1,18,Normal,0,11,11,2,0,41.0,74.0,24.666666666666668
134,2025-01-01 11:10:00,Central,Police,382,2,27,Normal,0,14,11,2,0,11.0,66.0,22.0
135,2025-01-01 11:15:00,North,Police,360,2,20,Normal,0,20,11,2,0,14.0,45.0,15.0
136,2025-01-01 11:20:00,South,Medical,440,3,22,Normal,0,19,11,2,0,20.0,53.0,17.666666666666668
137,2025-01-01 11:25:00,Central,Fire,671,4,28,Normal,0,24,11,2,0,19.0,63.0,21.0
138,2025-01-01 11:30:00,West,Police,202,2,17,Normal,0,13,11,2,0,24.0,56.0,18.666666666666668
139,2025-01-01 11:35:00,North,Medical,884,3,19,Normal,0,17,11,2,0,13.0,54.0,18.0
140,2025-01-01 11:40:00,East,Other,325,1,29,Normal,0,24,11,2,0,17.0,54.0,18.0
141,2025-01-01 11:45:00,Central,Other,206,1,6,Normal,0,19,11,2,0,24.0,60.0,20.0
142,2025-01-01 11:50:00,North,Police,219,2,21,Normal,0,24,11,2,0,19.0,67.0,22.333333333333332
143,2025-01-01 11:55:00,East,Other,368,1,28,Normal,0,24,11,2,0,24.0,67.0,22.333333333333332
144,2025-01-01 12:00:00,East,Medical,494,3,29,Normal,0,19,12,2,0,24.0,67.0,22.333333333333332
145,2025-01-01 12:05:00,East,Medical,423,3,19,Normal,0,18,12,2,0,19.0,61.0,20.333333333333332
146,2025-01-01 12:10:00,Central,Medical,892,3,22,Normal,0,10,12,2,0,18.0,47.0,15.666666666666666
147,2025-01-01 12:15:00,South,Police,488,2,10,Normal,0,21,12,2,0,10.0,49.0,16.333333333333332
148,2025-01-01 12:20:00,North,Medical,856,3,29,Normal,0,16,12,2,0,21.0,47.0,15.666666666666666
149,2025-01-01 12:25:00,Central,Other,348,1,23,Normal,0,23,12,2,0,16.0,60.0,20.0
150,2025-01-01 12:30:00,South,Other,305,1,17,Normal,0,25,12,2,0,23.0,64.0,21.333333333333332
151,2025-01-01 12:35:00,North,Police,559,2,6,Normal,0,17,12,2,0,25.0,65.0,21.666666666666668
152,2025-01-01 12:40:00,South,Fire,811,4,19,Normal,0,24,12,2,0,17.0,66.0,22.0
153,2025-01-01 12:45:00,South,Other,291,1,21,Normal,0,29,12,2,0,24.0,70.0,23.333333333333332
154,2025-01-01 12:50:00,East,Other,369,1,19,Normal,0,20,12,2,0,29.0,73.0,24.333333333333332
155,2025-01-01 12:55:00,Central,Medical,378,3,23,Normal,1,26,12,2,0,20.0,75.0,25.0
156,2025-01-01 13:00:00,West,Fire,796,4,13,Normal,0,15,13,2,0,26.0,61.0,20.333333333333332
157,2025-01-01 13:05:00,South,Police,283,2,26,Normal,0,23,13,2,0,15.0,64.0,21.333333333333332
158,2025-01-01 13:10:00,Central,Other,183,1,10,Normal,0,32,13,2,0,23.0,70.0,23.333333333333332
159,2025-01-01 13:15:00,South,Medical,823,3,22,Normal,0,17,13,2,0,32.0,72.0,24.0
160,2025-01-01 13:20:00,North,Medical,819,3,19,Normal,0,33,13,2,0,17.0,82.0,27.333333333333332
161,2025-01-01 13:25:00,South,Police,757,2,19,Normal,0,17,13,2,0,33.0,67.0,22.333333333333332
162,2025-01-01 13:30:00,West,Police,700,2,25,Normal,0,14,13,2,0,17.0,64.0,21.333333333333332
163,2025-01-01 13:35:00,South,Fire,1006,4,10,Normal,0,19,13,2,0,14.0,50.0,16.666666666666668
164,2025-01-01 13:40:00,North,Police,662,2,20,Normal,0,13,13,2,0,19.0,46.0,15.333333333333334
165,2025-01-01 13:45:00,South,Medical,301,3,5,Normal,0,18,13,2,0,13.0,50.0,16.666666666666668
166,2025-01-01 13:50:00,South,Other,189,1,18,Normal,0,7,13,2,0,18.0,38.0,12.666666666666666
167,2025-01-01 13:55:00,East,Medical,372,3,11,Normal,0,30,13,2,0,7.0,55.0,18.333333333333332
168,2025-01-01 14:00:00,East,Fire,858,4,24,Normal,0,22,14,2,0,30.0,59.0,19.666666666666668
169,2025-01-01 14:05:00,North,Medical,313,3,15,Normal,0,24,14,2,0,22.0,76.0,25.333333333333332
170,2025-01-01 14:10:00,East,Medical,866,3,18,Normal,0,22,14,2,0,24.0,68.0,22.666666666666668
171,2025-01-01 14:15:00,East,Medical,848,3,28,Normal,0,24,14,2,0,22.0,70.0,23.333333333333332
172,2025-01-01 14:20:00,Central,Fire,606,4,5,Normal,1,28,14,2,0,24.0,74.0,24.666666666666668
173,2025-01-01 14:25:00,West,Police,563,2,24,Normal,0,31,14,2,0,28.0,83.0,27.666666666666668
174,2025-01-01 14:30:00,South,Police,711,2,8,Normal,0,20,14,2,0,31.0,79.0,26.333333333333332
175,2025-01-01 14:35:00,East,Medical,567,3,7,Severe,0,38,14,2,0,20.0,89.0,29.666666666666668
176,2025-01-01 14:40:00,West,Other,186,1,14,Normal,0,23,14,2,0,38.0,81.0,27.0
177,2025-01-01 14:45:00,West,Fire,413,4,28,Severe,0,40,14,2,0,23.0,101.0,33.666666666666664
178,2025-01-01 14:50:00,North,Other,165,1,7,Normal,0,13,14,2,0,40.0,76.0,25.333333333333332
179,2025-01-01 14:55:00,Central,Medical,586,3,15,Normal,0,24,14,2,0,13.0,77.0,25.666666666666668
180,2025-01-01 15:00:00,West,Other,356,1,9,Normal,0,18,15,2,0,24.0,55.0,18.333333333333332
181,2025-01-01 15:05:00,West,Medical,406,3,9,Normal,0,23,15,2,0,18.0,65.0,21.666666666666668
182,2025-01-01 15:10:00,West,Other,207,1,24,Normal,0,24,15,2,0,23.0,65.0,21.666666666666668
183,2025-01-01 15:15:00,Central,Police,234,2,10,Normal,0,20,15,2,0,24.0,67.0,22.333333333333332
184,2025-01-01 15:20:00,West,Medical,541,3,28,Normal,0,13,15,2,0,20.0,57.0,19.0
185,2025-01-01 15:25:00,East,Fire,827,4,10,Normal,0,21,15,2,0,13.0,54.0,18.0
186,2025-01-01 15:30:00,South,Police,207,2,22,Normal,0,17,15,2,0,21.0,51.0,17.0
187,2025-01-01 15:35:00,South,Police,318,2,15,Normal,0,15,15,2,0,17.0,53.0,17.666666666666668
188,2025-01-01 15:40:00,North,Police,200,2,23,Normal,0,21,15,2,0,15.0,53.0,17.666666666666668
189,2025-01-01 15:45:00,West,Medical,874,3,13,Normal,0,22,15,2,0,21.0,58.0,19.333333333333332
190,2025-01-01 15:50:00,North,Medical,680,3,10,Severe,0,45,15,2,0,22.0,88.0,29.333333333333332
191,2025-01-01 15:55:00,North,Medical,664,3,15,Normal,0,24,15,2,0,45.0,91.0,30.333333333333332
192,2025-01-01 16:00:00,North,Medical,442,3,25,Normal,0,22,16,2,0,24.0,91.0,30.333333333333332
193,2025-01-01 16:05:00,East,Medical,566,3,7,Normal,0,21,16,2,0,22.0,67.0,22.333333333333332
194,2025-01-01 16:10:00,Central,Other,216,1,29,Normal,0,24,16,2,0,21.0,67.0,22.333333333333332
195,2025-01-01 16:15:00,East,Police,525,2,18,Normal,0,21,16,2,0,24.0,66.0,22.0
196,2025-01-01 16:20:00,East,Medical,623,3,25,Severe,0,49,16,2,0,21.0,94.0,31.333333333333332
197,2025-01-01 16:25:00,Central,Medical,838,3,19,Normal,0,15,16,2,0,49.0,85.0,28.333333333333332
198,2025-01-01 16:30:00,South,Medical,389,3,29,Normal,0,13,16,2,0,15.0,77.0,25.666666666666668
199,2025-01-01 16:35:00,North,Police,497,2,28,Normal,0,15,16,2,0,13.0,43.0,14.333333333333334
200,2025-01-01 16:40:00,Central,Police,340,2,27,Normal,1,40,16,2,0,15.0,68.0,22.666666666666668
201,2025-01-01 16:45:00,South,Medical,883,3,28,Normal,0,21,16,2,0,40.0,76.0,25.333333333333332
202,2025-01-01 16:50:00,East,Other,266,1,14,Normal,0,24,16,2,0,21.0,85.0,28.333333333333332
203,2025-01-01 16:55:00,Central,Medical,782,3,16,Normal,0,14,16,2,0,24.0,59.0,19.666666666666668
204,2025-01-01 17:00:00,East,Police,359,2,15,Normal,0,13,17,2,0,14.0,51.0,17.0
205,2025-01-01 17:05:00,South,Medical,562,3,25,Normal,0,21,17,2,0,13.0,48.0,16.0
206,2025-01-01 17:10:00,East,Other,287,1,18,Normal,0,19,17,2,0,21.0,53.0,17.666666666666668
207,2025-01-01 17:15:00,West,Medical,652,3,8,Normal,0,21,17,2,0,19.0,61.0,20.333333333333332
208,2025-01-01 17:20:00,West,Fire,1041,4,9,Normal,0,16,17,2,0,21.0,56.0,18.666666666666668
209,2025-01-01 17:25:00,East,Police,580,2,7,Normal,0,17,17,2,0,16.0,54.0,18.0
210,2025-01-01 17:30:00,East,Police,315,2,12,Normal,0,18,17,2,0,17.0,51.0,17.0
211,2025-01-01 17:35:00,North,Medical,745,3,29,Normal,0,31,17,2,0,18.0,66.0,22.0
212,2025-01-01 17:40:00,West,Other,217,1,9,Normal,0,20,17,2,0,31.0,69.0,23.0
213,2025-01-01 17:45:00,West,Police,655,2,11,Normal,0,16,17,2,0,20.0,67.0,22.333333333333332
214,2025-01-01 17:50:00,Central,Medical,780,3,27,Normal,0,20,17,2,0,16.0,56.0,18.666666666666668
215,2025-01-01 17:55:00,North,Police,379,2,27,Normal,0,13,17,2,0,20.0,49.0,16.333333333333332
216,2025-01-01 18:00:00,West,Other,111,1,19,Normal,0,24,18,2,0,13.0,57.0,19.0
217,2025-01-01 18:05:00,South,Other,233,1,7,Normal,0,32,18,2,0,24.0,69.0,23.0
218,2025-01-01 18:10:00,South,Medical,765,3,18,Normal,0,21,18,2,0,32.0,77.0,25.666666666666668
219,2025-01-01 18:15:00,North,Other,369,1,5,Normal,1,51,18,2,0,21.0,104.0,34.666666666666664
220,2025-01-01 18:20:00,North,Other,240,1,25,Normal,0,24,18,2,0,51.0,96.0,32.0
221,2025-01-01 18:25:00,Central,Police,327,2,17,Normal,0,30,18,2,0,24.0,105.0,35.0
222,2025-01-01 18:30:00,Central,Medical,429,3,27,Normal,0,26,18,2,0,30.0,80.0,26.666666666666668
223,2025-01-01 18:35:00,South,Fire,1089,4,28,Normal,0,35,18,2,0,26.0,91.0,30.333333333333332
224,2025-01-01 18:40:00,West,Medical,562,3,20,Normal,0,24,18,2,0,35.0,85.0,28.333333333333332
225,2025-01-01 18:45:00,Central,Police,420,2,24,Normal,0,32,18,2,0,24.0,91.0,30.333333333333332
226,2025-01-01 18:50:00,Central,Medical,454,3,26,Normal,0,34,18,2,0,32.0,90.0,30.0
227,2025-01-01 18:55:00,South,Medical,704,3,26,Normal,0,35,18,2,0,34.0,101.0,33.666666666666664
228,2025-01-01 19:00:00,Central,Medical,512,3,22,Normal,0,33,19,2,0,35.0,102.0,34.0
229,2025-01-01 19:05:00,North,Medical,694,3,25,Normal,0,19,19,2,0,33.0,87.0,29.0
230,2025-01-01 19:10:00,West,Medical,893,3,12,Normal,0,30,19,2,0,19.0,82.0,27.333333333333332
231,2025-01-01 19:15:00,South,Other,204,1,21,Normal,0,37,19,2,0,30.0,86.0,28.666666666666668
232,2025-01-01 19:20:00,North,Other,331,1,25,Severe,0,57,19,2,0,37.0,124.0,41.333333333333336
233,2025-01-01 19:25:00,North,Police,372,2,23,Normal,0,28,19,2,0,57.0,122.0,40.666666666666664
234,2025-01-01 19:30:00,North,Police,584,2,17,Severe,0,49,19,2,0,28.0,134.0,44.666666666666664
235,2025-01-01 19:35:00,West,Medical,698,3,23,Normal,0,28,19,2,0,49.0,105.0,35.0
236,2025-01-01 19:40:00,South,Medical,667,3,21,Normal,0,24,19,2,0,28.0,101.0,33.666666666666664
237,2025-01-01 19:45:00,South,Medical,681,3,8,Normal,0,32,19,2,0,24.0,84.0,28.0
238,2025-01-01 19:50:00,South,Medical,787,3,6,Normal,0,30,19,2,0,32.0,86.0,28.666666666666668
239,2025-01-01 19:55:00,West,Medical,821,3,19,Normal,0,34,19,2,0,30.0,96.0,32.0
240,2025-01-01 20:00:00,West,Medical,713,3,24,Normal,0,21,20,2,0,34.0,85.0,28.333333333333332
241,2025-01-01 20:05:00,East,Police,421,2,27,Normal,0,38,20,2,0,21.0,93.0,31.0
242,2025-01-01 20:10:00,Central,Other,337,1,11,Normal,0,31,20,2,0,38.0,90.0,30.0
243,2025-01-01 20:15:00,North,Other,384,1,17,Normal,0,27,20,2,0,31.0,96.0,32.0
244,2025-01-01 20:20:00,West,Police,620,2,5,Normal,0,25,20,2,0,27.0,83.0,27.666666666666668
245,2025-01-01 20:25:00,West,Police,327,2,9,Normal,0,31,20,2,0,25.0,83.0,27.666666666666668
246,2025-01-01 20:30:00,South,Police,672,2,14,Normal,0,22,20,2,0,31.0,78.0,26.0
247,2025-01-01 20:35:00,Central,Police,797,2,14,Normal,0,32,20,2,0,22.0,85.0,28.333333333333332
248,2025-01-01 20:40:00,South,Police,219,2,15,Normal,0,34,20,2,0,32.0,88.0,29.333333333333332
